status,Short name,Next,Parent,Contest ID,Full name,Date,Location,Venue,Web,Scoreboard,Frozen SB,Standings,Rankings,ICPC standings,Any
,nordic-2018,nordic-2019,nwerc-2018,3656,2018 Nordic Collegiate Programming Contest,2018-10-06,,,https://nordic.icpc.io/ncpc2018/,https://ncpc18.kattis.com/contests/ncpc18/standings,,,,,Yes
,nordic-2017,nordic-2018,nwerc-2017,3276,2017 Nordic Collegiate Programming Contest,2017-10-07,,,https://nordic.icpc.io/ncpc2017/,https://ncpc17.kattis.com/contests/ncpc17/standings,,,,,Yes
,nordic-2016,nordic-2017,nwerc-2016,3120,2016 Nordic Collegiate Programming Contest,2016-10-08,,,https://nordic.icpc.io/ncpc2016/,https://ncpc16.kattis.com/contests/ncpc16/standings,,,,,Yes
,nordic-2015,nordic-2016,nwerc-2015,2785,2015 Nordic Collegiate Programming Contest,2015-10-10,,,https://nordic.icpc.io/ncpc2015/,https://ncpc15.kattis.com/contests/ncpc15/standings,,,,,Yes
,nordic-2014,nordic-2015,nwerc-2014,2693,2014 Nordic Collegiate Programming Contest,2014-10-04,,,https://nordic.icpc.io/ncpc2014/,https://ncpc14.kattis.com/contests/s3f31fa/standings,,,,,Yes
,nordic-2013,nordic-2014,nwerc-2013,2019,2013 Nordic Collegiate Programming Contest,2013-10-05,,,https://nordic.icpc.io/ncpc2013/,https://web.archive.org/web/20160719225554/http://ncpc13.contest.scrool.se/standings/,,,,,Yes
,nordic-2012,nordic-2013,nwerc-2012,1341,2012 Nordic Collegiate Programming Contest,2012-10-06,,,https://nordic.icpc.io/ncpc2012/,https://web.archive.org/web/20181121100538/http://ncpc12.contest.scrool.se/standings/,,,,,Yes
,nordic-2011,nordic-2012,nwerc-2011,791,2011 Nordic Collegiate Programming Contest,2011-10-01,,,https://nordic.icpc.io/ncpc2011/,https://web.archive.org/web/20181119175412/http://ncpc2011.contest.scrool.se/standings/,,,,,Yes
,nordic-2010,nordic-2011,nwerc-2010,615,2010 Nordic Collegiate Programming Contest,2010-10-02,,,https://nordic.icpc.io/ncpc2010/,https://nordic.icpc.io/ncpc2010/scoreboard,,,,,Yes
,nordic-2009,nordic-2010,nwerc-2009,540,2009 Nordic Collegiate Programming Contest,2009-10-03,,,https://nordic.icpc.io/ncpc2009/,https://www.csc.kth.se/contest/ncpc/2009/standings/,,,,,Yes
,nordic-2008,nordic-2009,nwerc-2008,50,2008 Nordic Collegiate Programming Contest,2008-10-04,,,https://nordic.icpc.io/ncpc2008/,https://www.csc.kth.se/contest/ncpc/2008/standings/,,,,,Yes
